,Tweets,Time,Username
150,Hey #MakerFaire : let's help out our brethren in #Kosovo! Help make its first hackerspace a reality! Almost there!https://www.kickstarter.com/projects/1731685895/lets-build-a-hackerspace-in-kosovo …,5/16/2015,cfarivar
151,"For those asking, I won't be at @makerfaire this wknd b/c of other commitments. I know! I'm bummed! Tweet me what I'm missing & have fun!",5/16/2015,donttrythis
152,"#MakerFaire Bay Area is about to begin - we're excited! Listen to Eben on 4 years of Pi, Center Stage, 1.30pm today: http://makerfaire.com/maker/entry/51279/ …",5/16/2015,Raspberry_Pi
153,"Whether floating or flying, there's jaw-dropping innovation at #MakerFaire https://vine.co/v/eKV2mipOeqH ",5/16/2015,intel
154,"Spider bots, drones, intuitive bikes, and some flames! All this weekend at the San Mateo Event Center. #MakerFaire pic.twitter.com/9IRDHoeLvI",5/16/2015,intel
155,"I'll be speaking on the @makerfaire main stage today at 3pm, about great things makers have launched on @kickstarter ! Come say hi!",5/16/2015,dimatosj
156,"I'm surrounded by R2-D2s! Luckily, they seem pretty friendly. @makerfaire #sanmateo #ktvupic.twitter.com/NsdNxubNzp",5/16/2015,arasmusKTVU
157,"Rise & shine it, makers! See you at #MakerFaire Bay Area. And don't forget: deadline for #NatlMakerFaire 5/18  → http://bit.ly/nationalmakers ",5/16/2015,natlmakerfaire
158,"Thanks @makerfaire we've had much fun, much hax! pic.twitter.com/0nkX58t9iJ",5/17/2015,hax_co
159,THANK YOU for making our 10th Anniversary so amazing! Proud to be part of this incredible community. #makerfaire #MFBA15,5/17/2015,makerfaire
160,Live from #MakerFaire: @littleBits's  Analog Arcade Machine project inspires everyone to make cool things: https://youtu.be/2dcPd_H9gnQ  #MFBA15,5/17/2015,makerfaire
161,NBD - we just won a Best in Show/Best Visual Display award at the close of @makerfaire for our @NASA booth!pic.twitter.com/1sZSCjrNSf,5/17/2015,NASAPrize
162,Live from #MakerFaire- Talking @arduino Zero with @Atmel.  https://youtu.be/jOUALurj5P4  via @YouTube #MFBA15,5/17/2015,makerfaire
163,Watch Handibot Cut 3D Chess Pieces #makerfaire #MFBA15 http://ow.ly/N3VBq pic.twitter.com/w0w7ZtWr7d,5/17/2015,make
164,Intel Edison at #MakerFaire with jaw-dropping interactive @ThudRumble concert http://intel.ly/1H9dxrr pic.twitter.com/Yhg1lE5RSo,5/17/2015,intel
165,We spent the day at @makerfaire yesterday -- people sure are creative... http://recode.net/2015/05/17/maker-faire-shows-off-the-human-forklift-and-other-cool-inventions/ … by @KurtWagner8pic.twitter.com/5L4zR8qF7Y,5/17/2015,Recode
166,All the 1200 @Raspberry_Pi DOT boards are gone with only an hour until #makerfaire finish! woah! Whata weekend. pic.twitter.com/0HhY0BD8AK,5/17/2015,RachelRayns
167,Super excited that I got to meet Eric from @Pebble today @makerfaire! pic.twitter.com/yJw6cgmwUy,5/17/2015,Qtechknow
168,.@littleBits arcade gets editors choice #MakerFaire #MFBA15pic.twitter.com/KHMAE2y3fy,5/17/2015,varelidi
169,Check it out! @guykawasaki got a copy of @MakerSylvia's http://superawesomebook.com  at @makerfaire! pic.twitter.com/xlosy9PPDD,5/17/2015,garystager
170,Find your #MakerFaire zen within the inflatable light forest. pic.twitter.com/55rfzQqVP4,5/17/2015,intel
171,Up front watching @DJQbert scratch at Intel's space at #MakerFaire #MFBA15pic.twitter.com/f1LWEBAooh,5/17/2015,donald
172,"Prototyped with a Pi: http://Weedebud.com  solar-powered weeding robot, like Roomba for gardens #MakerFaire #MFBA15pic.twitter.com/AwA29iPIz6",5/17/2015,Raspberry_Pi
