,Tweets,Time,Username
127,"MAKER Magazine publisher answers the question, Are makers born or made? http://intel.ly/1kbwxhl   #MakerFaire pic.twitter.com/JOAvK8wHx5",5/17/2014,intel
128,Of course I'm going to sign it... #MakerFaire pic.twitter.com/qDgoAvl5ff,5/17/2014,trev_harmon
129,Anybody going to be at #makerfaire today in San Mateo? Let us know. Love to demo #360cam & get your feedback.pic.twitter.com/cXEFuWDH3O,5/17/2014,Giroptic
130,Here is the photo with @MakerSylvia from last year's @makerfaire. pic.twitter.com/Q6GlvOLCl1,5/18/2014,donttrythis
131,Rocking out w/ cardboard guitar we made w/ fantastic MakeyMakey kit from @makerfaire http://makeymakey.com pic.twitter.com/SxaV8ehNa5,5/18/2014,chr1sa
132,The TI team has the @hackaday skull and cross bones! We're holding it ransom for all the #bitcoin @makerfaire pic.twitter.com/72oypnGMIY,5/18/2014,aye_dreee_an
133,"Coffee cup shooting electricity on a Tesla coil, being controlled by a light saber. #ThatIsAll . #MakerFaire pic.twitter.com/7R1LaHxUjt",5/18/2014,AndreaKuszewski
134,Maker Faire comes to an end but isn't over.  Keep making and creating  #YOTM #MakerFaire #makers #DIY,5/18/2014,makerfaire
135,#MakerFaire was awesome! pic.twitter.com/d2JMlbrUeb,5/18/2014,pankaj
136,And another one! @littleBits at #makerfaire with Best in Class award! Come see us at booth 628 pic.twitter.com/Aq1VPemTal,5/18/2014,ayahbdeir
137,Everyone walks away with a grin from the Learn to Solder tent #MakerFaire http://bit.ly/1jt9WOu pic.twitter.com/AaNNu4kVR6,5/18/2014,make
138,OTTO is a hackable GIF Camera powered by Raspberry Pi #MakerFaire http://bit.ly/1lBY9KK pic.twitter.com/ehOYT2S7AL,5/18/2014,make
139,At @makerfaire I met a fan who didn't want an autograph or pic. Just wanted to say hi & give me this great letter. pic.twitter.com/r9vQZAQWOG,5/18/2014,donttrythis
140,Maker Faire 2014 Bay Area was awesome! Can't wait for the next one. #makerfaire #Intelhttps://vine.co/v/MHKlz1x1b17 ,5/18/2014,intel
141,WiFi Nerf Hack from @Freescale on #mbed enabled freedom board based on #CortexM4 @makerfaire pic.twitter.com/87i33BlNFQ,5/18/2014,ArmMbed
142,"Whoops, misspelled @MakerSylvia! #MakerFaire",5/18/2014,donttrythis
143,This is the awesome Silvia. She's come to @makerfaire and taken a photo with me holding last year's pic for 5 years! pic.twitter.com/feWHrl6iPM,5/18/2014,donttrythis
144,Sir Mix-A-Lot @therealmix at #MakerFaire is the embodiment of hacking all those mixtapes as a kid pic.twitter.com/gxYkpo4vOK @Atmel,5/18/2014,fqure
145,"Hey @makerfaire peeps! If you couldn't hear my talk don't despair, it'll be up on @testedcom soon! With better audio than this windy day.",5/18/2014,donttrythis
146,Signing at @makerfaire. I signed for 90 minutes. Everyone was patient & I met some awesome young makers. #MakerFaire pic.twitter.com/A01qcBHz2v,5/18/2014,donttrythis
147,Too many choices at #MakerFaire! Cool stuff to learn about around every corner. pic.twitter.com/64mrtsetJO,5/18/2014,instructables
148,"Half an hour into #MakerFaire, my cheeks are hurting from grinning so much pic.twitter.com/1t4FQZunAR",5/18/2014,amac
149,See my ruby laser at #makerfaire pic.twitter.com/MphXChbE3k,5/18/2014,BenKrasnow
150,"Mobbed @3DRobotics booth at @MakerFaire yesterday. Huge thanks to team, kept voices & smiles intact all day pic.twitter.com/4t9up5Nyf3",5/18/2014,chr1sa
151,@ROBLOX Users: Come to #MakerFaire today for one of these. Can't make it? Retweet this & I'll DM a code to 1 winner pic.twitter.com/oTsKxCw9tS,5/18/2014,philyeh
152,Wearable tech fashion: @emsl shows off the voltage regulator earing. #makerfaire pic.twitter.com/utApkWZsaX,5/18/2014,JimStLeger
153,"At #MakerFaire, @mbanzi showcases new #Arduino using @Atmel #Cortex-M0+; How was event @simonsegars?; https://www.youtube.com/watch?v=6st9ym0a6Sk&noredirect=1 …",5/18/2014,fergie_on_tech
154,"Meet Otto, a cute cam with a @Raspberry_Pi Compute Module as its <3 #MakerFaire  https://www.kickstarter.com/projects/1598272670/meet-otto-the-hackable-gif-camera … pic.twitter.com/WaM15LBVzY",5/18/2014,pimoroni
155,@ArcAttack + @AnoukWipprecht presenting our faradaycage dress during @makerfaire San Mateo! #teslacoilspic.twitter.com/GtbJrOq3Tl,5/18/2014,AnoukWipprecht
156,"Good article on Maker Faire by @bajarin. ""Why the Maker Movement Is Important to America’s Future"" http://ti.me/1n7RcGL  @makerfaire",5/19/2014,dalepd
157,How do you subvert existing K-12 classroom structures? https://www.edsurge.com/n/2014-05-19-how-to-subvert-the-k-12-classroom … #edtech #MakerFaire,5/19/2014,EdSurge
158,Creating the Future @makerfaire this past weekend w/ @Java @Oraclejavamag #MakerFaire pic.twitter.com/T3FstRAhlz,5/19/2014,Oracle
